Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Operator,Row,Column,ErrorFlag,ErrorDescription,Analysis Wavelength,Rsq of Ref. spectrum (Nth),Max transmission of Ref. spec. (dB),Rsq of IV,I at -1V [A],I at 1V [A]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 19:15:38 2019, Mon Jul 15 19:16:52 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,-1,-1,[0],No Error,"[1558.0, 1558.0]",[0.9984335299218047],[-7.7],[0.9932995342674171],[-2.603237e-08],[0.006701705]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 19:21:45 2019, Mon Jul 15 19:22:58 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,-1,-3,[0],No Error,"[1552.5, 1552.5]",[0.9972272295976409],[-8.9],[0.9936734245362334],[-4.890819e-08],[0.006328398]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 20:22:17 2019, Mon Jul 15 20:23:30 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,-1,3,[0],No Error,"[1551.6, 1551.6]",[0.9971718109638955],[-9.4],[0.9936261297334323],[-4.591942e-08],[0.006375596]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 19:51:42 2019, Mon Jul 15 19:52:56 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,-3,-3,[1],Ref. spec. Error,"[1556.0, 1556.0]",[0.9961624632968927],[-8.2],[0.9936852877122622],[-5.465495e-08],[0.006316235]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 19:39:43 2019, Mon Jul 15 19:40:57 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,-3,0,[0],No Error,"[1551.8, 1551.8]",[0.9981042240560483],[-8.8],[0.9934689737509051],[-4.814727e-08],[0.006532866]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 20:28:35 2019, Mon Jul 15 20:29:48 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,-3,2,[0],No Error,"[1557.5, 1557.5]",[0.9988762153621976],[-9.4],[0.9934819743731765],[-6.663287e-08],[0.006519705]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 19:45:43 2019, Mon Jul 15 19:46:57 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,-4,-1,[1],Ref. spec. Error,"[1555.8, 1555.8]",[0.9951006161495864],[-9.5],[0.9936000229414643],[-7.783068e-08],[0.006401758]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 19:57:51 2019, Mon Jul 15 19:59:04 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,0,-4,[0],No Error,"[1559.5, 1559.5]",[0.9971876242211088],[-9.6],[0.9939619546933532],[-6.760271e-08],[0.006039913]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 19:09:27 2019, Mon Jul 15 19:10:41 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,0,0,[0],No Error,"[1557.7, 1557.7]",[0.9985871151066114],[-7.7],[0.9932937302310924],[-8.955287e-09],[0.006707282]
HY202103,D07,LION1,DCM_LMZC,"MZMCTE_LULAB_450_500, DCM_LMZC_ALIGN","Mon Jul 15 19:33:43 2019, Mon Jul 15 19:34:57 2019","Lumped MZ modulator test structure (i.e. modulator + input and output grating couplers), Reference or alignment waveguide",ykim,0,2,[0],No Error,"[1555.9, 1555.9]",[0.9973770602840623],[-7.9],[0.9934097889301691],[-4.150557e-08],[0.006591849]
